"No.","Judul","Abstrak"
"1","Pengaruh Penggunaan Media Sosial Terhadap Hasil Belajar Mahasiswa Jurusan Teknik Informatika dan Komputer Universitas Negeri Makassar","Andi Rafli Setiawan, 2025. Pengaruh Penggunaan Media Sosial Terhadap Hasil Belajar Mahasiswa Jurusan Teknik Informatika dan Komputer Universitas Negeri Makassar. Skripsi, Jurusan Teknik Informatika dan Komputer, Fakultas Teknik, Universitas Negeri Makassar (dibimbing oleh Mustari Lamada dan Irwansyah Suwahyu). Penelitian ini bertujuan untuk mengetahui apakah ada pengaruh positif penggunaan media sosial (Instagram, Youtube dan TikTok) terhadap hasil belajar mahasiswa. Jenis penelitian yang digunakan adalah ex post facto dengan pendekatan penelitian kuantitatif. Teknik pengumpulan data yang digunakan adalah angket (kuesioner) dan dokumentasi. Variabel bebasnya adalah penggunaan media sosial dan variabel terikatnya yaitu hasil belajar mahasiswa (IPK Terakhir). Penelitian ini dilaksanakan di Jurusan Teknik Informatika dan Komputer (JTIK) Universitas Negeri Makassar (UNM) yang dimulai bulan Juli sampai Oktober 2024. Subjek penelitian ini adalah mahasiswa JTIK yang terdiri dari Prodi PTIK dan TEKOM angkatan 2022 yang diambil dengan teknik purposive sampling berjumlah 85 mahasiswa. Data yang diperoleh dari data kuesioner, dianalisis menggunakan analisis statistik deskriptif dan analisis statistik inferensial. Hasil penelitian menunjukkan bahwa terdapat pengaruh positif yang tidak signifikan antara penggunaan media sosial terhadap hasil belajar mahasiswa JTIK UNM."
"2","Pengembangan Sistem Informasi Bidang Ketersediaan dan Produksi Pangan Berbasis Web Dinas Ketahanan Pangan Kota Makassar","Penelitian ini didasari dengan permasalahan terkait dengan keterbatasan informasi dan pengelolaan data di Bidang Ketersediaan dan Produksi Pangan Dinas Ketahanan Pangan Kota Makassar. Untuk itu, penelitian ini bertujuan untuk mengembangkan dan menghasilkan sistem informasi berbasis web untuk mempermudah dalam pengelolaan data dan informasi di bidang tersebut dan untuk mengetahui hasil pengujian sistem dengan mengimplementasikan standar ISO/IEC 25010. Penelitian ini merupakan penelitian dan pengembangan (research and development) yang menerapkan model pengembangan Agile dengan tahapan requirements, design, development, testing, review, dan implementation. Pengujian sistem menggunakan standar ISO/IEC 25010 dengan delapan aspek pengujian yaitu functionality suitability, usability, reliability, compability, performance efficiency, maintainability, portability, dan security. Data dihimpun dengan menerapkan observasi, wawancara, dokumentasi dan angket. Hasil penelitian didapati bahwa luaran yang dihasilkan dapat beroperasi dan sesuai persyaratan standar ISO/IEC 25010. Hasil pengujian diperoleh hasil: aspek functionality suitability dan usability, sistem dinyatakan dapat beroperasi, berfungsi baik dan dapat dikategorikan sangat layak. Aspek reliability, dengan dukungan software WAPT 10.1 dapat beroperasi dengan baik. Aspek compatibility, diperoleh bahwa sistem kompatibel dengan berbagai peramban dengan bantuan situs browserstack.com. Aspek performance efficiency dijalankan menggunakan dukungan situs GTmetrix dapat dikategorikan baik. Aspek maintainability, didapati hasil memenuhi standar indikator instrumentation, consistency, dan simplicity. Aspek portability, diperoleh hasil bahwa sistem dapat beroperasi baik di peramban maupun platform yang berbeda-beda. Terakhir, security didapati hasil bahwa sistem dikategorikan baik pada pengujian menggunakan bantuan situs ImmuniWeb. Berdasarkan hasil pengujian tersebut, sistem informasi Bidang Ketersediaan dan Produksi Pangan Berbasis Web Dinas Ketahanan Pangan Kota Makassar layak digunakan dan telah memenuhi persyaratan standar kualitas ISO/IEC 25010."
"3","Pengembangan Modul Pembelajaran Mata Kuliah Internet of Thing (IoT) Berbasis Proyek (Project Based Learning)","Penelitian ini bertujuan untuk mengetahui validitas, kepraktisan, dan keefektifan Modul Pembelajaran Mata Kuliah Internet of Things (IoT) berbasis Proyek (Project Based Learning). Penelitian ini menggunakan metode penelitian R&D (Research and Development), dengan menggunakan model 4-D. Subjek pada penelitian ini adalah mahasiswa Program Studi Teknik Komputer yang telah memprogram mata kuliah Internet of Things. Instrumen pengumpulan data dilakukan melalui uji validasi, angket respon mahasiswa, dan instrument penilaian hasil penggunaan modul pembelajaran. Teknik analisis data yang digunakan adalah analisis data deskriptif. Hasil dari penelitian ini, yaitu menunjukkan bahwa modul pembelajaran mata kuliah Internet of Things berbasis Proyek, berada pada persentase 94% dari ahli materi dan 96% dari ahli media dengan kategori sangat valid. Modul pembelajaran mata kuliah Internet of Things berbasis proyek dinyatakan praktis dari hasil analisis respon mahasiswa dengan nilai persentase 83% dengan kategori sangat praktis. Modul pembelajaran mata kuliah Internet of Things berbasis proyek dinyatakan efektif ditinjau dari hasil belajar mahasiswa mencapai mencapai rata-rata ketuntasan 84% dengan kategori efektif. Berdasarkan data tersebut dapat disimpulkan bahwa Modul Pembelajaran Mata Kuliah Internet of Things (IoT) berbasis Proyek (Project Based Learning) dapat diterima untuk digunakan sebagai media dalam kegiatan pembelajaran di Jurusan Teknik Informatika dan Komputer Fakultas Teknik Universitas Negeri Makassar."
"4","ANALISIS PENERAPAN APLIKASI SLIMS (SENAYAN LIBRARY MANAGEMENT SYSTEM) TERHADAP EFEKTIFITAS LAYANAN PERPUSTAKAAN DI UPTD SMP NEGERI 5 SINJAI","Pengelolaan layanan perpustakaan di UPTD SMP Negeri 5 Sinjai yang sebelumnya dilakukan secara manual menyebabkan keterbatasan dalam efisiensi waktu dan pengelolaan data perpustakaan. Untuk mengatasi masalah ini, aplikasi SLiMS versi 9 Bulian diterapkan sebagai solusi otomasi perpustakaan. Penelitian ini bertujuan untuk mengevaluasi efektivitas layanan perpustakaan setelah penerapan SLiMS dan mengukur tingkat kepuasan pengguna, baik pustakawan maupun siswa. Metode kuantitatif dengan pendekatan deskriptif digunakan untuk mengumpulkan data melalui observasi, dokumentasi serta kuesioner yang disebarkan kepada tiga pustakawan dan 22 siswa, serta pengukuran waktu layanan untuk membandingkan sistem manual dan SLiMS. Hasil analisis menunjukkan penerapan SLiMS mampu meningkatkan efisiensi waktu layanan, dengan peminjaman buku yang sebelumnya memakan waktu 57 detik berkurang menjadi 28 detik, dan penginputan data yang berkurang dari 126 detik menjadi 73 detik. Tingkat kepuasan pustakawan sangat tinggi, dengan 100% menyatakan ""Sangat Puas,"" sementara siswa menilai kemudahan layanan dengan kategori ""Mudah"" sebesar 54,55% dan kepuasan layanan dalam kategori ""Sangat Puas"" sebesar 45,45%. Penelitian ini menyimpulkan bahwa penerapan SLiMS versi 9 Bulian memberikan dampak positif terhadap efektivitas dan kepuasan layanan perpustakaan, meskipun optimalisasi lebih lanjut diperlukan melalui peningkatan pelatihan pustakawan, sosialisasi kepada siswa, dan penguatan infrastruktur teknologi untuk memastikan aplikasi ini dapat dimanfaatkan secara maksimal."
"5","Analisis Kepuasan Mahasiswa Terhadap Penggunaan System and Application Management Open Knowledge (SYAM-OK)","Wishmoon Sojum Saidar, 2025. Analisis Kepuasan Mahasiswa Terhadap Penggunaan System and Application Management Open Knowledge (SYAM-OK). Skripsi, Jurusan Teknik Informatika dan Komputer. Fakultas Teknik. Universitas Negeri Makassar. (dibimbing oleh Riana Tangkin Mangesa, dan Muhammad Rais) Perkembangan teknologi digital telah mempercepat adopsi pembelajaran daring, termasuk penggunaan platform seperti SYAM-OK di Universitas Negeri Makassar. Penelitian ini bertujuan untuk menganalisis hubungan antara kepuasan pengguna SYAM-OK dengan motivasi belajar mahasiswa di Program Studi Pendidikan Teknik Informatika dan Komputer. Dimensi yang dianalisis meliputi akurasi konten, format konten, kemudahan penggunaan, kualitas layanan, dan ketepatan waktu konten.Penelitian ini menggunakan metode deskriptif kuantitatif dengan 167 responden dari mahasiswa angkatan 2023. Data dikumpulkan melalui kuesioner, serta dianalisis menggunakan software SPSS versi 25. Hasil penelitian menunjukkan bahwa kemudahan penggunaan dan keterlibatan aktif memiliki skor tertinggi dalam memengaruhi kepuasan dan motivasi belajar. Namun, dimensi kualitas layanan dan ketepatan waktu konten masih memerlukan perbaikan. Hasil koefisien hubungan sedang antara kepuasan pengguna dengan motivasi belajar mahasiswa.Penelitian ini menyimpulkan bahwa kepuasan pengguna SYAM-OK memiliki hubungan terhadap motivasi belajar mahasiswa. Rekomendasi untuk pengembangan platform meliputi peningkatan respons layanan teknis, penyediaan materi tepat waktu, dan pengembangan fitur interaktif. Temuan ini diharapkan dapat menjadi acuan untuk pengembangan strategi pembelajaran daring di masa depan."
"6","Pengembangan Media Pembelajaran Berbasis Video Animasi menggunakan After Effect Pada Elemen Kejuruan Teknik Komputer dan Jaringan di SMK Telkom Makassar","Muh Dzaky Fazary, 2025. Pengembangan Media Pembelajaran Berbasis Video Animasi Menggunakan After Effect Pada Elemen Kejuruan Teknik Komputer dan Jaringan Di SMK Telkom Makassar. Skripsi. Jurusan Teknik Informatika dan Komputer. Fakultas Teknik. Universitas Negeri Makassar (dibimbing oleh Sugeng A. Karim dan Shabrina Syntha Dewi) Penelitian ini bertujuan untuk mengetahui hasil pengembangan media pembelajaran berbasis video animasi dengan menggunakan after effect pada elemen kejuruan Teknik Komputer dan Jaringan (TKJ) materi voice over internet protocol (VoIP) berdasarkan hasil kriteria valid dan praktis untuk peserta didik kelas XI. Penelitian dilaksanakan di SMK Telkom Makassar. Penelitian ini menggunakan metode Research and Development (R&D) dengan model pengembangan ADDIE (Analysis, Design, Development, Implementation, Evaluation). Teknik pengumpulan data yang digunakan adalah wawancara, angket, dan dokumentasi. Subjek penelitian terdiri dari 41 peserta didik kelas XI. Teknik analisis data yang digunakan yakni analisis data uji validitas dan analisis data uji kepraktisan. Hasil penelitian menunjukkan bahwa, media pembelajaran yang dikembangkan dinyatakan sangat valid berdasarkan hasil validasi ahli materi dengan perolehan nilai 91% dan ahli media perolehan nilai 97%. Tahap selanjutnya yaitu uji praktis guru memperoleh nilai 91% dan uji praktis peserta didik dengan nilai presentase rata-rata 92% kedua uji tersebut masuk dalam kategori sangat praktis. Berdasarkan data tersebut dapat disimpulkan bahwa media pembelajaran berbasis video animasi menggunakan after effect yang dikembangkan valid dan praktis untuk digunakan dalam proses pembelajaran elemen kejuruan teknologi komputer dan jaringan (TKJ) pada materi voice over internet protocol (VoIP) di kelas XI SMK Telkom Makassar."
"7","PENGEMBANGAN APLIKASI E-VOTING BERBASIS WEB (STUDI KASUS PEMILIHAN KETUA OSIS DI SMPN 2 MAROS)","Penelitian ini bertujuan untuk mengembangkan dan menguji aplikasi e-voting berbasis web dalam pemilihan ketua OSIS di UPTD SMPN 2 Maros. Aplikasi ini diharapkan dapat meningkatkan efisiensi dan efektivitas dalam proses pemilihan di lingkungan sekolah. Metode penelitian yang digunakan adalah penelitian deskriptif kuantitatif dengan jumlah responden sebanyak 150 orang yg terdiri dari siswa, guru dan tendik. Teknik pengambilan data dilakukan melalui kuesioner yang mengukur aspek kemudahan, keamanan, efektivitas, dan efisiensi aplikasi. Sistem login dalam aplikasi menggunakan NISN sebagai identitas pengguna tanpa kata sandi, yang memudahkan akses namun tetap menjaga keamanan data melalui pembatasan akses hanya untuk pengguna terdaftar dan hanya bisa diakses dengan jaringan lokal. Hasil penelitian menunjukkan bahwa aplikasi ini memfasilitasi pemilihan ketua OSIS di SMPN 2 Maros yang cepat, akurat, dan efisien dengan tingkat kemudahan 92,2%, keamanan 91,97%, efektivitas 93,63%, dan efisiensi 93,37%. Aplikasi ini diharapkan menjadi solusi inovatif dalam penerapan teknologi e-voting di sekolah."
"8","Pengembangan Model Deteksi Objek Parkir Kendaraan Bermotor Berbasis Deep Learning Sebagai Pendukung Sistem Deteksi Pelanggaran Parkir","Transportasi memainkan peran penting dalam mendukung mobilitas masyarakat, dengan sepeda motor menjadi moda utama di Indonesia. Namun, tingginya jumlah sepeda motor dapat menimbulkan masalah pelanggaran parkir, khususnya di area yang tidak semestinya. Penelitian ini bertujuan untuk mengembangkan model deteksi objek kendaraan bermotor menggunakan YOLOv7 yang terdiri dari tiga kelas klasifikasi, yaitu parking, non-parking, dan person. Hasil pelatihan menunjukkan model optimal pada 28 epoch dengan nilai precision sebesar 88,7%, recall 88%, f1-score 88%, mAP@0.5 95%, dan mAP@0.5:0.95 63,7%. Selain itu, pada tahap implementasi, model secara keseluruhan telah mampu mendeteksi sebagian besar objek secara akurat. Model klasifikasi ini selanjutnya dapat dimanfaatkan untuk mendeteksi pelanggaran parkir sepeda motor dengan mengimplementasikan metode logika tambahan yang lebih terstruktur, seperti mengidentifikasi pelanggaran apabila terdeteksi sebuah objek parking di area yang telah ditentukan sebagai zona dilarang parkir."
"9","Evaluasi Pembelajaran Berbasis Industri Menggunakan Model CIPP di SMK Negeri Makassar","Penelitian ini bertujuan untuk mengevaluasi pelaksanaan program pembelajaran berbasis industri di SMK Negeri Makassar dilakukan di 3 SMK Negeri di Kota Makassar yaitu: 1) SMK Negeri 2 Makassar; 2) SMK Negeri 7 Makassar; 3) SMK Negeri 10 Makassar dengan menggunakan model evaluasi CIPP (Context, Input, Process, Product). Model CIPP digunakan untuk menilai efektivitas program dengan mempertimbangkan aspek-aspek seperti latar belakang pelaksanaan, sumber daya yang digunakan, proses pembelajaran, serta hasil akhir dari program tersebut. Melalui pendekatan kualitatif, penelitian ini mengevaluasi program di beberapa SMK Negeri Makassar, khususnya pada jurusan Teknik Komputer dan Jaringan (TKJ), untuk mengetahui kesesuaian antara materi yang diajarkan dengan kebutuhan industri dan untuk mengevaluasi motivasi serta kesadaran siswa dalam mempersiapkan diri menghadapi dunia kerja. Hasil dari penelitian ini diharapkan dapat memberikan rekomendasi yang berguna bagi perbaikan program pembelajaran berbasis industri di masa depan, serta mendukung keselarasan antara pendidikan vokasi dan kebutuhan industri di Kota Makassar."
"10","EFEKTIVITAS PENGGUNAAN MEDIA PEMBELAJARAN KOMPUTER UNTUK MENINGKATKAN HASIL BELAJAR PADA MATA PELAJARAN TIK KELAS X DI SMA NEGERI 3 MAKASSAR","Penelitian ini dilaksanakan dengan tujuan untuk mengetahui efektivitas penggunaan media pembelajaran terhadap hasil belajar TIK siswa kelas 10 SMA Negeri 3 Makassar. Penelitian eksperimen semu dengan desain pretest posttest control group design. Populasi yaitu seluruh peserta didik kelas X yang terdiri atas 10 kelas, kemudian sampel diambil secara random dan yang terpilih menjadi kelas eksperimen yaitu kelas X.10 dan kelas kontrol yaitu kelas X.2. Penerapan pembelajaran pada kelas eksperimen menggunakan media proyektor dan power point sedangkan pada kelas kontrol menggunakan pembelajaran konvensional. Teknik pengumpulan data dalam penelitian ini yaitu berupa tes untuk aspek kognitif dan observasi untuk aspek psikomotorik. Analisis data yang digunakan adalah uji normalitas, uji homogenitas, dan uji independent sampel t test yang dihitung dengan menggunakan bantuan software SPSS 27. Untuk melihat efektivitas media terhadap hasil belajar peneliti menggunakan analisis N-Gain ternormalisasi. Hasil penelitian menunjukan (1) Hasil analisis uji independent sampel t test pada data posttest diperoleh nilai t-hitung 0,311 dengan signifikansi 0,05. Sehingga dapat diketahui bahwa sig (2-tailed) 0,001 < 0,05 yang artinya rata-rata kelas eksperimen tidak sama dengan rata-rata kelas kontrol. Rata-rata kelas eksperimen lebih besar dari rata-rata kelas kontrol. Selain itu, hasil rata-rata dari persentase N-Gain kelas eksperimen memperoleh rata-rata N-Gain 91,21 dengan kategori sangat efektif, sedangkan rata-rata N-Gain kelas kontrol adalah 45,16 dengan kategori kurang efektif. (2) Hasil analisis data observasi kelas eksperimen memperoleh rata-rata nilai 68,95 dan kelas kontrol memperoleh rata- rata 59,69. Hal tersebut menunjukan bahwa terdapat perbedaan hasil belajar aspek psikomotor antara kelas eksperimen dan kelas kontrol. Berdasarkan kedua analisis data tersebut maka dapat disimpulkan bahwa media pembelajaran proyektor dan power point efektif digunakan pada mata pelajaran TIK kelas X SMA Negeri 3 Makassar baik pada aspek kognitif maupun psikomotor."
